Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
12-12-2023,Tuesday,December,Q4,2023,465.230011,465.609985,459.200012,463,463,3302700
11-12-2023,Monday,December,Q4,2023,459.359985,470.649994,457.209991,459.890015,459.890015,4929700
08-12-2023,Friday,December,Q4,2023,450.76001,455.5,450.76001,453.76001,453.76001,3456100
07-12-2023,Thursday,December,Q4,2023,450.850006,452.890015,448.320007,452,452,3506700
06-12-2023,Wednesday,December,Q4,2023,460,460.5,445.730011,446.730011,446.730011,4178800
05-12-2023,Tuesday,December,Q4,2023,450.700012,456.390015,449.579987,455.149994,455.149994,3380700
04-12-2023,Monday,December,Q4,2023,460.98999,461.200012,451.200012,453.899994,453.899994,5157700
01-12-2023,Friday,December,Q4,2023,473.170013,475.230011,464.600006,465.73999,465.73999,4338100
30-11-2023,Thursday,November,Q4,2023,475.309998,478.589996,470.420013,473.970001,473.970001,4287300
29-11-2023,Wednesday,November,Q4,2023,479,480.98999,474.48999,477.190002,477.190002,2855500
28-11-2023,Tuesday,November,Q4,2023,478.109985,480.5,475.950012,479,479,2890200
27-11-2023,Monday,November,Q4,2023,479.029999,482,475.350006,479.170013,479.170013,3625900
24-11-2023,Friday,November,Q4,2023,477.109985,480.399994,475.200012,479.559998,479.559998,1404700
22-11-2023,Wednesday,November,Q4,2023,476.799988,482.700012,476.559998,478,478,2841600
21-11-2023,Tuesday,November,Q4,2023,472.630005,477.019989,471.209991,474.950012,474.950012,2997700
20-11-2023,Monday,November,Q4,2023,465.399994,476.76001,465.399994,474.470001,474.470001,3617600
17-11-2023,Friday,November,Q4,2023,466.950012,467.649994,462.76001,465.910004,465.910004,2798500
16-11-2023,Thursday,November,Q4,2023,463,467.279999,459.649994,466.950012,466.950012,3656000
15-11-2023,Wednesday,November,Q4,2023,452.809998,462.75,452.450012,461.940002,461.940002,5035300
14-11-2023,Tuesday,November,Q4,2023,448.779999,454.079987,445.640015,448.649994,448.649994,4060900
13-11-2023,Monday,November,Q4,2023,447.25,448.429993,442.600006,444.619995,444.619995,2896100
10-11-2023,Friday,November,Q4,2023,437.480011,447.480011,435.51001,447.23999,447.23999,4440600
09-11-2023,Thursday,November,Q4,2023,438.029999,440.380005,434.350006,435.149994,435.149994,2735500
08-11-2023,Wednesday,November,Q4,2023,435,438.070007,433.679993,436.649994,436.649994,2356800
07-11-2023,Tuesday,November,Q4,2023,436.179993,437.640015,431,434.609985,434.609985,3291100
06-11-2023,Monday,November,Q4,2023,434.380005,435.029999,429.609985,434.73999,434.73999,3003200
03-11-2023,Friday,November,Q4,2023,428.76001,434.820007,425.529999,432.359985,432.359985,3664800
02-11-2023,Thursday,November,Q4,2023,421.170013,426.690002,417.100006,424.709991,424.709991,4476000
01-11-2023,Wednesday,November,Q4,2023,414.769989,420.600006,414.179993,420.190002,420.190002,4806100
31-10-2023,Tuesday,October,Q4,2023,409.23999,412.519989,404.630005,411.690002,411.690002,3877600
30-10-2023,Monday,October,Q4,2023,402.350006,412.820007,399.410004,410.079987,410.079987,5317100
27-10-2023,Friday,October,Q4,2023,406.420013,410.209991,395.619995,397.869995,397.869995,4997600
26-10-2023,Thursday,October,Q4,2023,411.420013,417.309998,401.540009,403.540009,403.540009,6849700
25-10-2023,Wednesday,October,Q4,2023,416.019989,418.839996,410.109985,411.25,411.25,6299600
24-10-2023,Tuesday,October,Q4,2023,409.679993,416.690002,408.390015,413.730011,413.730011,6459200
23-10-2023,Monday,October,Q4,2023,403.320007,407.540009,398.519989,406.839996,406.839996,7390000
20-10-2023,Friday,October,Q4,2023,405.630005,410.640015,398.01001,400.959991,400.959991,12768900
19-10-2023,Thursday,October,Q4,2023,404.73999,408.950012,392.26001,401.769989,401.769989,28074400
18-10-2023,Wednesday,October,Q4,2023,351,354.790009,344.730011,346.190002,346.190002,11429600
17-10-2023,Tuesday,October,Q4,2023,361.100006,362.700012,353.890015,355.720001,355.720001,5908400
16-10-2023,Monday,October,Q4,2023,356.209991,363.079987,354.769989,360.820007,360.820007,5128900
13-10-2023,Friday,October,Q4,2023,355.640015,358.929993,352.049988,355.679993,355.679993,6312600
12-10-2023,Thursday,October,Q4,2023,366.480011,368.829987,359.049988,361.200012,361.200012,7376100
11-10-2023,Wednesday,October,Q4,2023,372.779999,377.809998,365.339996,365.929993,365.929993,9151400
10-10-2023,Tuesday,October,Q4,2023,385.579987,388.700012,372.25,373.320007,373.320007,7288900
09-10-2023,Monday,October,Q4,2023,378.049988,387.170013,377.76001,385.950012,385.950012,3299800
06-10-2023,Friday,October,Q4,2023,368.429993,382.519989,367.769989,381.51001,381.51001,4773400
05-10-2023,Thursday,October,Q4,2023,378.01001,378.600006,367.23999,372.589996,372.589996,5034800
04-10-2023,Wednesday,October,Q4,2023,376.5,380.220001,373.579987,376.899994,376.899994,4303700
03-10-2023,Tuesday,October,Q4,2023,377.109985,394.899994,372.850006,376.75,376.75,8878100
02-10-2023,Monday,October,Q4,2023,377.480011,384.809998,376.799988,380.329987,380.329987,3102100
29-09-2023,Friday,September,Q3,2023,380,382.579987,375.350006,377.600006,377.600006,4198700
28-09-2023,Thursday,September,Q3,2023,375.600006,378.959991,371.100006,376.359985,376.359985,4369900
27-09-2023,Wednesday,September,Q3,2023,382.399994,384.220001,376.25,377.589996,377.589996,3843500
26-09-2023,Tuesday,September,Q3,2023,382.880005,384.559998,377.359985,379.25,379.25,4089400
25-09-2023,Monday,September,Q3,2023,382.899994,386.619995,380.809998,384.799988,384.799988,3757300
22-09-2023,Friday,September,Q3,2023,385,386.880005,378.359985,379.809998,379.809998,3692800
21-09-2023,Thursday,September,Q3,2023,386.5,395.899994,383.420013,384.149994,384.149994,5547900
20-09-2023,Wednesday,September,Q3,2023,397.049988,397.98999,386.119995,386.299988,386.299988,3866600
19-09-2023,Tuesday,September,Q3,2023,392.839996,398.230011,390.25,396.200012,396.200012,4076800
18-09-2023,Monday,September,Q3,2023,395.5,399.470001,392.600006,394.399994,394.399994,4704700
15-09-2023,Friday,September,Q3,2023,401,404.700012,395.029999,396.940002,396.940002,9110700
14-09-2023,Thursday,September,Q3,2023,410.399994,411.390015,400,400.48999,400.48999,10709000
13-09-2023,Wednesday,September,Q3,2023,435.5,438.399994,410.690002,412.23999,412.23999,11843000
